scenario,optimal_cost,open_loop_cost,cost_reduction_percent,iterations,success,final_energy_kWh,avg_storage_control_kW,avg_grid_control_kW,max_storage_control_kW,max_grid_control_kW
base_case,207.77091380925503,259.1892271826038,19.838136766820014,19,True,100.0,0.5853915768359611,1.9613260584648977,2.0,2.0
peak_shaving,168.1647189127436,226.67850506028398,25.81355745750085,33,True,100.0,0.46253263874824063,1.961241090297688,2.0,2.0
grid_support,160.27550562301508,206.45477509344522,22.36774104620664,22,True,100.0,0.6246416869805268,1.9613214320687185,2.0,2.0
